id,Company,About company,Company outlook,Company size (number of employees),Company type,Compensation band,Contact details,Content,How to apply,Last edited time,Market,Priority,Scope of AI,Status,Tips,Website
45,Nykaa,"India's leading beauty/fashion e-commerce platform, founded 2012 by Falguni Nayar (Founder, Executive Chair & CEO). Listed 2021 ($13B valuation), profitable, 55M+ customers, 331 offline stores. Announced strategic OpenAI collaboration June 16, 2026 for AI-native shopping and agentic commerce on ChatGPT.",Very positive,large,Giant/Unicorn,1cr+,"Falguni Nayar (Founder & CEO) — public figure, high inbound volume, formal hiring process more realistic at this scale. Apply via http://nykaa.com careers page; product orgs led under Anchit Nayar (Beauty CEO) and Adwaita Nayar (Fashion CEO).","Dear Nykaa,

The short version of why: 10 years building product in dynamic industries like social media, leading teams of 20+. Early to AI too: I built one of the first AI SaaS products in 2021. It was powered by GPT-3 during its private beta.
Since then I've shipped AI-first products to 25M+ users, generated $50M+ in pipeline, raised $3M from VCs, trained purpose-built models with cutting-edge techniques, and filed a patent that cuts conversational AI costs by 90%.
In the last few months I've gone deeper into AI productivity directly: side projects, the latest tools, mentoring startups, rebuilding my workflows for an AI-led world. Nykaa is exactly where I want to do that next.

More at http://tanishksharma.com.

Tanishk Sharma
+91 89712 58254
http://tanishksharma.com",Website,"April 28, 2026 9:25 AM",Indian,Medium,"AI-powered discovery/personalization, ~50% of code generation AI-assisted internally, and a new OpenAI partnership for agentic commerce (Nykaa listed as a ChatGPT connected app).",Ready,"Best, freshest hook in the whole list: OpenAI partnership announced June 16, 2026, days before this research — reference it directly. Strong, profitable, scaling company; formal hiring process given its size.",https://www.nykaa.com
46,Flipkart,"India's largest e-commerce marketplace (Walmart-owned), led by Group CEO Kalyan Krishnamurthy. Flipping legal domicile back to India ahead of a planned IPO. 6x increase in AI investment in 2025, strong growth (20-25% YoY orders), quick-commerce arm 'Minutes' scaling to 800 dark stores.",Very positive,large,Giant/Unicorn,1cr+,"Kalyan Krishnamurthy (Group CEO) — mailto:k*@flipkart.com (per ZoomInfo, format likely mailto:kalyan@flipkart.com), based in Singapore. At this scale, formal hiring via http://careers.flipkart.com is the realistic path, not founder DM.","Dear Flipkart,

The short version of why: 10 years building product in dynamic industries like social media, leading teams of 20+. Early to AI too: I built one of the first AI SaaS products in 2021. It was powered by GPT-3 during its private beta.
Since then I've shipped AI-first products to 25M+ users, generated $50M+ in pipeline, raised $3M from VCs, trained purpose-built models with cutting-edge techniques, and filed a patent that cuts conversational AI costs by 90%.
In the last few months I've gone deeper into AI productivity directly: side projects, the latest tools, mentoring startups, rebuilding my workflows for an AI-led world. Flipkart is exactly where I want to do that next.

More at http://tanishksharma.com.

Tanishk Sharma
+91 89712 58254
http://tanishksharma.com",Website,"April 28, 2026 9:25 AM",Indian,Medium,"6x AI investment increase in 2025 across shopping experience, ads, supply chain; quick-commerce (Minutes) and fintech (http://super.money) are the fastest-growing, most AI-leveraged units.",Ready,"Pre-IPO domicile-flip-to-India is a strong timing signal — they're actively building out leadership ahead of going public. Target Minutes (quick-commerce) or http://super.money (fintech) product orgs, the newest and fastest-growing areas, over core marketplace.",https://www.flipkart.com
47,PolicyBazaar (PB Fintech),"India's largest insurance/lending marketplace (PB Fintech, listed Nov 2021), founded 2008 by Yashish Dahiya (Chairman & Group CEO). Q4 FY26 net profit up 54% to Rs 261cr, revenue up 37% to Rs 2,061cr. Expanding into healthcare (PB Health) and debt broking (Paisabazaar).",Very positive,large,Giant/Unicorn,1cr+,"Yashish Dahiya (Chairman & Group CEO) — public figure, high inbound; Sarbvir Singh (President, Policybazaar) also senior product/business contact. Formal hiring via http://pbfintech.in careers more realistic than founder DM at this scale.","Dear PolicyBazaar,

The short version of why: 10 years building product in dynamic industries like social media, leading teams of 20+. Early to AI too: I built one of the first AI SaaS products in 2021. It was powered by GPT-3 during its private beta.
Since then I've shipped AI-first products to 25M+ users, generated $50M+ in pipeline, raised $3M from VCs, trained purpose-built models with cutting-edge techniques, and filed a patent that cuts conversational AI costs by 90%.
In the last few months I've gone deeper into AI productivity directly: side projects, the latest tools, mentoring startups, rebuilding my workflows for an AI-led world. PolicyBazaar is exactly where I want to do that next.

More at http://tanishksharma.com.

Tanishk Sharma
+91 89712 58254
http://tanishksharma.com",Website,"April 28, 2026 9:25 AM",Indian,Medium,"AI for insurance risk pricing and claims validation (CEO's stated priority use case over distribution), plus AI-driven personalization across insurance/lending products.",Ready,"Dahiya is candid that AI's biggest value is in risk/claims, not distribution efficiency — a sharp, specific angle to reference if applying for a product role touching underwriting or claims AI.",https://www.policybazaar.com
48,InMobi,"Bengaluru-founded adtech unicorn (India's first, 2011), founded 2007 by Naveen Tewari (CEO). Built second unicorn Glance AI (lock-screen AI commerce/content platform), 235M+ daily users globally. $200M invested in Glance AI + genAI ad stack.",Very positive,medium,Startup,1cr+,"Naveen Tewari (Founder & CEO, InMobi & Glance) — LinkedIn: http://linkedin.com/in/naveentewari, active poster. Kelli Lin (SVP Product, Glance) and Piyush Shah (Co-founder & President, Glance) are senior product contacts.","Hi Naveen.

I've been following InMobi and Glance and I want to work with you.
I've got 10 years building product in dynamic industries like social media, leading teams of 20+.
Early to AI too: I built one of the first AI SaaS products in 2021. It was powered by GPT-3 during its private beta. Since then: 25M+ users, $50M+ pipeline, $3M raised, and a patent that cuts conversational AI costs 90%.

Now I'm after the next big thing.
Check out http://tanishksharma.com if the pitch was compelling.

Worth 5 minutes?
+91 89712 58254",DM Founder,"April 28, 2026 9:25 AM",Indian,Medium,"Glance AI — generative AI for personalized content and agentic commerce (purchase-path optimization, ""living commerce context graph""); genAI across InMobi's ad tech stack.",Ready,"Strong, specific hook: agentic commerce and the ""living commerce context graph"" concept Tewari described at the AI Impact Summit (Feb 2026) — reference it directly. Glance AI is the more product-relevant entity vs. legacy InMobi ads.",https://www.inmobi.com
49,Delhivery,"India's largest logistics/supply chain platform, founded 2011 by Sahil Barua (CEO). Listed 2022, turned profitable FY2025 (Rs 153cr net profit). Acquired rival Ecom Express in 2025. Q3 FY26 revenue Rs 2,798cr, up 18% YoY.",Very positive,large,Giant/Unicorn,1cr+,"Sahil Barua (Co-founder, MD & CEO) — LinkedIn search recommended. Kapil Bharati (Executive Director & CTO) is the relevant tech/product contact. Apply via http://delhivery.com careers for formal roles.","Dear Delhivery,

The short version of why: 10 years building product in dynamic industries like social media, leading teams of 20+. Early to AI too: I built one of the first AI SaaS products in 2021. It was powered by GPT-3 during its private beta.
Since then I've shipped AI-first products to 25M+ users, generated $50M+ in pipeline, raised $3M from VCs, trained purpose-built models with cutting-edge techniques, and filed a patent that cuts conversational AI costs by 90%.
In the last few months I've gone deeper into AI productivity directly: side projects, the latest tools, mentoring startups, rebuilding my workflows for an AI-led world. Delhivery is exactly where I want to do that next.

More at http://tanishksharma.com.

Tanishk Sharma
+91 89712 58254
http://tanishksharma.com",Website,"April 28, 2026 9:25 AM",Indian,Medium,"Proprietary 'Naksha LLM Suite' — 7 fine-tuned small language models for logistics workflows (location intelligence, voice, vision, transactions). AI automation in documentation and claims handling already cutting headcount needs.",Ready,"Naksha LLM Suite is the sharpest, most specific reference point — a genuinely differentiated in-house AI product, not just ""AI in logistics"" boilerplate. Now profitable and consolidating the market (Ecom Express acquisition), so this is a stability story, not a turnaround story.",https://www.delhivery.com
50,MakeMyTrip,"India's largest online travel company. $2B valuation, Gurugram-based. MakeMyTrip, Goibibo, and RedBus under one umbrella. 50M+ customers.",Positive,large,Giant/Unicorn,80LPA,,,Website,"April 28, 2026 9:25 AM",Indian,,"AI in travel recommendation, dynamic pricing, itinerary planning, customer service automation, and AI-assisted hotel and flight search.",,"NASDAQ-listed. Apply via http://makemytrip.com/careers or LinkedIn. Gurugram HQ — check if roles can be remote or Bengaluru-based. Target product leadership for AI-powered trip planning, personalisation, or the MyBiz (corporate travel) vertical. Structured PM org, internal referral helps. Your entrepreneurial + product leadership background is strong here — travel AI is an under-tapped but high-value space.",https://www.makemytrip.com
51,Infosys,"Indian IT services giant (NSE/BSE/NYSE: INFY), $20B+ revenue (FY26), 330,000+ employees, led by CEO Salil Parekh. AI First value framework unveiled April 2026, targeting $300-400B AI-services opportunity by 2030.",Very positive,large,Giant/Unicorn,70LPA,"Salil Parekh (CEO & MD) and Nandan Nilekani (Co-founder & Chairman) are public figures, not realistic DM targets. Apply via http://infosys.com/careers; formal corporate hiring process.","Dear Infosys,

The short version of why: 10 years building product in dynamic industries like social media, leading teams of 20+. Early to AI too: I built one of the first AI SaaS products in 2021. It was powered by GPT-3 during its private beta.
Since then I've shipped AI-first products to 25M+ users, generated $50M+ in pipeline, raised $3M from VCs, trained purpose-built models with cutting-edge techniques, and filed a patent that cuts conversational AI costs by 90%.
In the last few months I've gone deeper into AI productivity directly: side projects, the latest tools, mentoring startups, rebuilding my workflows for an AI-led world. Infosys is exactly where I want to do that next.

More at http://tanishksharma.com.

Tanishk Sharma
+91 89712 58254
http://tanishksharma.com",Website,"April 28, 2026 9:25 AM",Indian,Medium,"Infosys Topaz (genAI/agentic AI suite) and Topaz Fabric, 4600+ AI projects underway across 90% of top 200 clients. AI-first transformation consulting is now a core service line, not a side bet.",Ready,Massive formal IT services org — no founder-DM angle. Target product roles specifically within the Topaz platform team rather than generic consulting roles for the strongest fit.,https://www.infosys.com
52,Wipro,"Indian IT services giant (NSE/BSE: WIPRO), led by CEO Srini Pallia. Building dedicated AI capabilities (Wipro ai360, formerly Wipro Holmes) across consulting and delivery, plus large investments in agentic AI for enterprise clients.",Positive,large,Giant/Unicorn,60LPA,"Srini Pallia (CEO & MD) — public figure, formal hiring process. Apply via http://wipro.com/careers.","Dear Wipro,

The short version of why: 10 years building product in dynamic industries like social media, leading teams of 20+. Early to AI too: I built one of the first AI SaaS products in 2021. It was powered by GPT-3 during its private beta.
Since then I've shipped AI-first products to 25M+ users, generated $50M+ in pipeline, raised $3M from VCs, trained purpose-built models with cutting-edge techniques, and filed a patent that cuts conversational AI costs by 90%.
In the last few months I've gone deeper into AI productivity directly: side projects, the latest tools, mentoring startups, rebuilding my workflows for an AI-led world. Wipro is exactly where I want to do that next.

More at http://tanishksharma.com.

Tanishk Sharma
+91 89712 58254
http://tanishksharma.com",Website,"April 28, 2026 9:25 AM",Indian,Medium,"Wipro ai360 — dedicated AI lab and agentic AI services suite, embedded across consulting, engineering, and BPO delivery for enterprise clients.",Ready,"Large formal IT services org, no founder-DM angle realistic. Target roles specifically tied to ai360 platform/product rather than generic delivery roles.",https://www.wipro.com
53,Google India,"Google India has 10,000+ employees across Hyderabad, Bengaluru, and Mumbai. Manages Search, Google Workspace AI, Gemini rollout, and significant infrastructure work.",Very positive,large,MNC/Corporate,1cr+,,,Website,"April 28, 2026 9:25 AM",Indian,Low,"AI across Google Search, Gemini integration in Workspace, YouTube AI features, and India-specific AI products like Bard India rollout.",,"Apply via http://google.com/careers filtered to India (Hyderabad/Bengaluru). Most competitive PM hiring in India — 6-8 rounds including product sense, analytical, and leadership interviews. Target Google Workspace AI (Gemini in Docs/Slides/Sheets), YouTube AI, or Google Search teams in India. A referral from a current Googler is almost mandatory to get past the initial screen. Compensation is top 1% in India. Prep 6-8 weeks minimum before interviewing.",https://about.google/intl/en_in/
54,Microsoft India,"India's largest technology company by revenue. $3T market cap globally. India R&D centre in Hyderabad and Bengaluru with 20,000+ employees. Home of Copilot, Azure, and GitHub.",Very positive,large,MNC/Corporate,1cr+,,,Website,"April 28, 2026 9:25 AM",Indian,Low,"AI across Copilot (Office, Teams, Windows), Azure OpenAI, GitHub Copilot, and enterprise AI transformation. India teams own significant product pieces.",,"Apply via http://careers.microsoft.com. The highest-impact areas for a PM of your background are: Copilot (M365), GitHub Copilot (Bengaluru/Hyderabad), and Azure AI. Filter for Principal PM or Senior PM II roles in India. Microsoft’s PM interview has 4 pillars: product sense, analytical, execution, leadership — prep heavily. A referral from a current Microsoft PM (LinkedIn) is the most reliable path to fast-track screening. Comp is top-of-market in India.",https://www.microsoft.com/en-in
55,Salesforce India,"Salesforce India has 10,000+ employees with R&D centres in Hyderabad and Bengaluru. Builds significant parts of the Agentforce AI platform and Einstein AI features.",Very positive,large,MNC/Corporate,1cr+,,,Website,"April 28, 2026 9:25 AM",Indian,Low,"Agentforce (AI agents for sales, service, marketing), Einstein GPT, and AI embedded across CRM, Service Cloud, and Marketing Cloud. India owns key parts of the product.",,"Apply via http://salesforce.com/company/careers. Target Agentforce PM roles specifically — their biggest AI bet and directly relevant to your Revenoid/Evabot sales AI background. Salesforce India has 10,000+ employees in Hyderabad and Bengaluru. The PM interview is structured around product sense and customer success. A referral from a current Salesforce India PM is the most reliable fast-track. Comp is strong for India MNC standards.",https://www.salesforce.com/in
56,HCL Technologies,"Indian IT services and engineering giant (NSE/BSE: HCLTECH), led by CEO C Vijayakumar. Building internal and client-facing AI productivity tools across its software, engineering, and services businesses.",Positive,large,Giant/Unicorn,60LPA,"C Vijayakumar (CEO & MD) — public figure, formal hiring process. Apply via http://hcltech.com/careers.","Dear HCL Technologies,

The short version of why: 10 years building product in dynamic industries like social media, leading teams of 20+. Early to AI too: I built one of the first AI SaaS products in 2021. It was powered by GPT-3 during its private beta.
Since then I've shipped AI-first products to 25M+ users, generated $50M+ in pipeline, raised $3M from VCs, trained purpose-built models with cutting-edge techniques, and filed a patent that cuts conversational AI costs by 90%.
In the last few months I've gone deeper into AI productivity directly: side projects, the latest tools, mentoring startups, rebuilding my workflows for an AI-led world. HCL Technologies is exactly where I want to do that next.

More at http://tanishksharma.com.

Tanishk Sharma
+91 89712 58254
http://tanishksharma.com",Website,"April 28, 2026 9:25 AM",Indian,Medium,"AI Force and GenAI-powered engineering/software services across HCLTech's product engineering, ERP, and cloud businesses.",Ready,"Large formal IT services org, no founder-DM angle. Target roles tied specifically to AI/GenAI service lines rather than generic delivery roles.",https://www.hcltech.com
57,Jio,"Reliance Jio, India's largest telecom (450M+ subscribers), part of Reliance Industries led by Mukesh Ambani (Chairman) and Akash Ambani (Chairman, Reliance Jio Infocomm). Owns Haptik (conversational AI) and is building JioBrain, an internal AI/ML platform, plus AI partnerships with Google and Meta.",Positive,large,Giant/Unicorn,70LPA,"Akash Ambani (Chairman, Reliance Jio Infocomm) — public figure, formal hiring process. Apply via http://jio.com careers or LinkedIn Jobs.","Dear Jio,

The short version of why: 10 years building product in dynamic industries like social media, leading teams of 20+. Early to AI too: I built one of the first AI SaaS products in 2021. It was powered by GPT-3 during its private beta.
Since then I've shipped AI-first products to 25M+ users, generated $50M+ in pipeline, raised $3M from VCs, trained purpose-built models with cutting-edge techniques, and filed a patent that cuts conversational AI costs by 90%.
In the last few months I've gone deeper into AI productivity directly: side projects, the latest tools, mentoring startups, rebuilding my workflows for an AI-led world. Jio is exactly where I want to do that next.

More at http://tanishksharma.com.

Tanishk Sharma
+91 89712 58254
http://tanishksharma.com",Website,"April 28, 2026 9:25 AM",Indian,Medium,"JioBrain (internal AI/ML platform), Haptik (owned subsidiary, conversational AI), Jio's AI cloud and partnerships with Google/Meta for consumer AI products at India scale.",Ready,"Massive conglomerate, no founder-DM angle. Note overlap with Haptik (already in tracker as a separate row) — differentiate by targeting a distinct Jio product team (JioBrain, telecom AI) rather than duplicating the Haptik pitch.",https://www.jio.com
58,SAP Labs India,"SAP's largest R&D center outside Germany, based in Bengaluru. Develops core SAP product including Joule, SAP's enterprise AI copilot embedded across S/4HANA, SuccessFactors, and the full SAP suite.",Positive,large,MNC/Corporate,70LPA,No single accessible leader identified — large formal MNC R&D org. Apply via http://sap.com/india careers or LinkedIn Jobs.,"Dear SAP Labs India,

The short version of why: 10 years building product in dynamic industries like social media, leading teams of 20+. Early to AI too: I built one of the first AI SaaS products in 2021. It was powered by GPT-3 during its private beta.
Since then I've shipped AI-first products to 25M+ users, generated $50M+ in pipeline, raised $3M from VCs, trained purpose-built models with cutting-edge techniques, and filed a patent that cuts conversational AI costs by 90%.
In the last few months I've gone deeper into AI productivity directly: side projects, the latest tools, mentoring startups, rebuilding my workflows for an AI-led world. SAP Labs India is exactly where I want to do that next.

More at http://tanishksharma.com.

Tanishk Sharma
+91 89712 58254
http://tanishksharma.com",Website,"April 28, 2026 9:25 AM",Indian,Medium,"Joule, SAP's generative AI assistant embedded across the enterprise suite (S/4HANA, SuccessFactors, Ariba), largely built and shipped from the Bangalore R&D center.",Ready,"Real product-building location (not just delivery/services), so a genuine PM role is plausible here. No founder-DM angle; apply formally and target Joule-related product teams specifically.",https://www.sap.com/india
59,Adobe India,"Adobe India has 8,000+ employees in Noida, Bengaluru, and Hyderabad. Builds significant parts of Adobe Creative Cloud, Firefly AI, and Document Cloud products.",Very positive,large,MNC/Corporate,1cr+,,,Website,"April 28, 2026 9:25 AM",Indian,Low,"Firefly AI generative models embedded in Photoshop, Premiere, Acrobat. AI in Document Cloud (AI Assistant for PDFs). India teams own core product features.",,Apply via http://adobe.com/jobs filtered to India (Noida/Bengaluru/Hyderabad). Target Firefly AI (generative creative) or Acrobat AI Assistant (document AI) product teams — these are their highest-growth areas. Adobe has strong product culture and a high design bar. Internal referral from an Adobe India PM is the strongest path. PM interviews focus on product sense with a strong design/user experience lens.,https://www.adobe.com/in
60,TCS,"India's largest IT services company (Tata Group, NSE/BSE: TCS), 600,000+ employees globally. Investing heavily in AI/agentic AI services (TCS WisdomNext, AI Cloud) across enterprise clients worldwide.",Positive,large,Giant/Unicorn,70LPA,"CEO K Krithivasan — public figure, large formal hiring org. Apply via http://tcs.com/careers.","Dear TCS,

The short version of why: 10 years building product in dynamic industries like social media, leading teams of 20+. Early to AI too: I built one of the first AI SaaS products in 2021. It was powered by GPT-3 during its private beta.
Since then I've shipped AI-first products to 25M+ users, generated $50M+ in pipeline, raised $3M from VCs, trained purpose-built models with cutting-edge techniques, and filed a patent that cuts conversational AI costs by 90%.
In the last few months I've gone deeper into AI productivity directly: side projects, the latest tools, mentoring startups, rebuilding my workflows for an AI-led world. TCS is exactly where I want to do that next.

More at http://tanishksharma.com.

Tanishk Sharma
+91 89712 58254
http://tanishksharma.com",Website,"April 28, 2026 9:25 AM",Indian,Medium,"TCS WisdomNext and AI Cloud — enterprise AI/agentic services across BFSI, retail, manufacturing client engagements.",Ready,"Largest, most formal Indian IT employer in this list — no founder-DM angle whatsoever. Target product roles specifically within TCS's AI/digital business units.",https://www.tcs.com
61,IBM India,"IBM's India operations, large R&D and delivery hub. Core enterprise AI push is watsonx, IBM's AI and data platform for enterprise clients, plus consulting-led AI transformation work.",Positive,large,MNC/Corporate,70LPA,No single accessible India leader identified — large formal MNC org. Apply via http://ibm.com/in-en careers or LinkedIn Jobs.,"Dear IBM India,

The short version of why: 10 years building product in dynamic industries like social media, leading teams of 20+. Early to AI too: I built one of the first AI SaaS products in 2021. It was powered by GPT-3 during its private beta.
Since then I've shipped AI-first products to 25M+ users, generated $50M+ in pipeline, raised $3M from VCs, trained purpose-built models with cutting-edge techniques, and filed a patent that cuts conversational AI costs by 90%.
In the last few months I've gone deeper into AI productivity directly: side projects, the latest tools, mentoring startups, rebuilding my workflows for an AI-led world. IBM India is exactly where I want to do that next.

More at http://tanishksharma.com.

Tanishk Sharma
+91 89712 58254
http://tanishksharma.com",Website,"April 28, 2026 9:25 AM",Indian,Medium,"watsonx — IBM's enterprise AI and data platform (foundation models, governance, AI agents), India is a major engineering and delivery hub for it.",Ready,"Large formal MNC org, no founder-DM angle. Target watsonx-specific product roles over generic consulting/delivery.",https://www.ibm.com/in-en
62,Qualcomm India,"Qualcomm's large R&D center in Hyderabad, central to its on-device AI strategy (Snapdragon AI chips powering smartphones, AR/VR, smart glasses, automotive). Relevant context: Lenskart's new AI smart glasses run on Qualcomm's AR1 chip.",Positive,large,MNC/Corporate,80LPA,No single accessible India leader identified — large formal MNC R&D org. Apply via http://qualcomm.com careers or LinkedIn Jobs.,"Dear Qualcomm India,

The short version of why: 10 years building product in dynamic industries like social media, leading teams of 20+. Early to AI too: I built one of the first AI SaaS products in 2021. It was powered by GPT-3 during its private beta.
Since then I've shipped AI-first products to 25M+ users, generated $50M+ in pipeline, raised $3M from VCs, trained purpose-built models with cutting-edge techniques, and filed a patent that cuts conversational AI costs by 90%.
In the last few months I've gone deeper into AI productivity directly: side projects, the latest tools, mentoring startups, rebuilding my workflows for an AI-led world. Qualcomm India is exactly where I want to do that next.

More at http://tanishksharma.com.

Tanishk Sharma
+91 89712 58254
http://tanishksharma.com",Website,"April 28, 2026 9:25 AM",Indian,Medium,"On-device AI — Snapdragon AI chips, AR1/AR2 platforms for smart glasses and wearables, automotive AI. Hyderabad is one of Qualcomm's largest R&D centers globally.",Ready,"Hardware/chip company, not software-product-PM friendly by default — best fit is product roles tied to AI silicon platforms or developer tools, not consumer app PM roles. No founder-DM angle.",https://www.qualcomm.com/company/locations/india
63,Deutsche Telekom (T-Systems) India,Deutsche Telekom's IT services and digital arm (T-Systems) has a large India presence in Bengaluru. Builds digital transformation and AI products for European telecom and enterprise clients.,Positive,large,MNC/Corporate,80LPA,,,Website,"April 28, 2026 9:25 AM",Indian,Low,"AI for enterprise digital transformation, network automation, and AI-powered managed services for European clients. Building AI products for their T-Systems platform.",,Apply via http://careers.telekom.com or Deutsche Telekom India LinkedIn page. Bengaluru R&D centre. More delivery-oriented than pure product — target 'Digital Product Manager' or 'Product Owner' roles in their T-Systems India division. European corporate culture means slower process. Lower-priority target compared to the rest of the list unless you specifically want MNC stability with European client exposure.,https://www.t-systems.com/in/en
64,Goldman Sachs India,"Goldman Sachs' large Bengaluru/Hyderabad technology and operations hub, supporting global investment banking, trading, and asset management. Heavy internal investment in AI engineering tools and trading/risk AI.",Positive,large,MNC/Corporate,1cr+,No single accessible India leader identified — large formal MNC org. Apply via http://goldmansachs.com/careers.,"Dear Goldman Sachs India,

The short version of why: 10 years building product in dynamic industries like social media, leading teams of 20+. Early to AI too: I built one of the first AI SaaS products in 2021. It was powered by GPT-3 during its private beta.
Since then I've shipped AI-first products to 25M+ users, generated $50M+ in pipeline, raised $3M from VCs, trained purpose-built models with cutting-edge techniques, and filed a patent that cuts conversational AI costs by 90%.
In the last few months I've gone deeper into AI productivity directly: side projects, the latest tools, mentoring startups, rebuilding my workflows for an AI-led world. Goldman Sachs India is exactly where I want to do that next.

More at http://tanishksharma.com.

Tanishk Sharma
+91 89712 58254
http://tanishksharma.com",Website,"April 28, 2026 9:25 AM",Indian,Medium,"Internal AI engineering platforms (GS AI Assistant/Copilot tooling for engineers), AI in trading/risk/compliance workflows across global GS business lines run partly out of India.",Ready,"Finance-grade comp band, formal recruiting only. No founder-DM angle. Best fit is technology/platform product roles, not trading-desk roles, given product-PM background.",https://www.goldmansachs.com/worldwide/india
65,Cisco India,Cisco's large Bengaluru R&D and operations hub. Core AI push is Webex AI (meeting/collaboration AI) plus AI-native networking and security products.,Positive,large,MNC/Corporate,70LPA,No single accessible India leader identified — large formal MNC R&D org. Apply via http://cisco.com/c/en_in careers.,"Dear Cisco India,

The short version of why: 10 years building product in dynamic industries like social media, leading teams of 20+. Early to AI too: I built one of the first AI SaaS products in 2021. It was powered by GPT-3 during its private beta.
Since then I've shipped AI-first products to 25M+ users, generated $50M+ in pipeline, raised $3M from VCs, trained purpose-built models with cutting-edge techniques, and filed a patent that cuts conversational AI costs by 90%.
In the last few months I've gone deeper into AI productivity directly: side projects, the latest tools, mentoring startups, rebuilding my workflows for an AI-led world. Cisco India is exactly where I want to do that next.

More at http://tanishksharma.com.

Tanishk Sharma
+91 89712 58254
http://tanishksharma.com",Website,"April 28, 2026 9:25 AM",Indian,Medium,"Webex AI (meeting summarization, real-time translation, agentic assistants) and AI-native networking/security products, partly built out of the Bangalore R&D center.",Ready,"Real product-building location, genuine PM roles possible. No founder-DM angle; target Webex AI or networking-AI product teams specifically.",https://www.cisco.com/c/en_in
66,Oracle India,Oracle's large India R&D and cloud operations center. Core AI push is OCI Generative AI service and Oracle Fusion Cloud applications with embedded AI agents.,Positive,large,MNC/Corporate,70LPA,No single accessible India leader identified — large formal MNC org. Apply via http://oracle.com/in careers.,"Dear Oracle India,

The short version of why: 10 years building product in dynamic industries like social media, leading teams of 20+. Early to AI too: I built one of the first AI SaaS products in 2021. It was powered by GPT-3 during its private beta.
Since then I've shipped AI-first products to 25M+ users, generated $50M+ in pipeline, raised $3M from VCs, trained purpose-built models with cutting-edge techniques, and filed a patent that cuts conversational AI costs by 90%.
In the last few months I've gone deeper into AI productivity directly: side projects, the latest tools, mentoring startups, rebuilding my workflows for an AI-led world. Oracle India is exactly where I want to do that next.

More at http://tanishksharma.com.

Tanishk Sharma
+91 89712 58254
http://tanishksharma.com",Website,"April 28, 2026 9:25 AM",Indian,Medium,"OCI Generative AI service and AI agents embedded across Oracle Fusion Cloud applications (ERP, HCM, CX).",Ready,"Large formal MNC org, no founder-DM angle. Target OCI AI or Fusion Cloud AI product teams specifically over generic database/infra roles.",https://www.oracle.com/in
67,Capgemini India,"Capgemini's large India delivery and consulting hub. Heavy push into AI-led enterprise transformation consulting for global clients, with India as a major delivery center for that work.",Positive,large,MNC/Corporate,60LPA,No single accessible India leader identified — large formal MNC org. Apply via http://capgemini.com/in-en careers.,"Dear Capgemini India,

The short version of why: 10 years building product in dynamic industries like social media, leading teams of 20+. Early to AI too: I built one of the first AI SaaS products in 2021. It was powered by GPT-3 during its private beta.
Since then I've shipped AI-first products to 25M+ users, generated $50M+ in pipeline, raised $3M from VCs, trained purpose-built models with cutting-edge techniques, and filed a patent that cuts conversational AI costs by 90%.
In the last few months I've gone deeper into AI productivity directly: side projects, the latest tools, mentoring startups, rebuilding my workflows for an AI-led world. Capgemini India is exactly where I want to do that next.

More at http://tanishksharma.com.

Tanishk Sharma
+91 89712 58254
http://tanishksharma.com",Website,"April 28, 2026 9:25 AM",Indian,Medium,"AI-led enterprise transformation consulting and delivery for global clients across industries; less of a product company, more services/delivery.",Ready,"Services/consulting org, not product-led — weaker fit for a product-management background than the pure-play AI startups in this list. No founder-DM angle.",https://www.capgemini.com/in-en
68,Accenture India,"Accenture's massive India delivery and innovation hub (one of its largest globally). Major AI practice and delivery center, actively hiring for AI transformation roles across industries.",Positive,large,MNC/Corporate,60LPA,No single accessible India leader identified — large formal MNC org. Apply via http://accenture.com/in-en careers.,"Dear Accenture India,

The short version of why: 10 years building product in dynamic industries like social media, leading teams of 20+. Early to AI too: I built one of the first AI SaaS products in 2021. It was powered by GPT-3 during its private beta.
Since then I've shipped AI-first products to 25M+ users, generated $50M+ in pipeline, raised $3M from VCs, trained purpose-built models with cutting-edge techniques, and filed a patent that cuts conversational AI costs by 90%.
In the last few months I've gone deeper into AI productivity directly: side projects, the latest tools, mentoring startups, rebuilding my workflows for an AI-led world. Accenture India is exactly where I want to do that next.

More at http://tanishksharma.com.

Tanishk Sharma
+91 89712 58254
http://tanishksharma.com",Website,"April 28, 2026 9:25 AM",Indian,Medium,"Massive AI practice (AI Refinery and related platforms) and delivery capability spanning generative AI strategy, implementation, and managed services for global clients.",Ready,"Services/consulting org, not product-led. No founder-DM angle; target internal product/platform roles (e.g. AI Refinery) over client-delivery consulting roles for a better PM fit.",https://www.accenture.com/in-en
